task_id,user_id,descricao,status,prioridade,data_criacao,data_limite,complexidade
100001,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 2",Concluída,Baixa,2025-01-01,2025-01-01,Básica
100002,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-01,2025-01-01,Básica
100003,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 68-79)",Concluída,Baixa,2025-01-01,2025-01-01,Básica
100004,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 3-3",Concluída,Baixa,2025-01-01,2025-01-01,Básica
100005,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Pendente,Baixa,2025-01-01,2025-01-01,Básica
100006,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 2-3",Concluída,Baixa,2025-01-01,2025-01-01,Básica
100007,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 4",Concluída,Baixa,2025-01-02,2025-01-02,Básica
100008,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 4-5",Concluída,Baixa,2025-01-02,2025-01-02,Básica
100009,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-02,2025-01-02,Básica
100010,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 10-11",Concluída,Baixa,2025-01-02,2025-01-02,Básica
100011,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 4",Pendente,Baixa,2025-01-02,2025-01-02,Básica
100012,1," Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 9-9   ",Pendente,Baixa,2025-01-03,2025-01-03,Básica
100013,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-03,2025-01-03,Básica
100014,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-03,2025-01-03,Básica
100015,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Pendente,Baixa,2025-01-03,2025-01-03,Básica
100016,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-03,2025-01-03,Básica
100017,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 2",Concluída,Baixa,2025-01-04,2025-01-04,Básica
100018,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 140-148)",Concluída,Baixa,2025-01-04,2025-01-04,Básica
100019,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 2",Concluída,Baixa,2025-01-04,2025-01-04,Básica
100020,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 8-14)",Concluída,Baixa,2025-01-04,2025-01-04,Básica
100021,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Adiada,Baixa,2025-01-04,2025-01-04,Básica
